simucont_id_all, naive_alloc_Mha, min_alloc_Mha, opt_alloc_Mha, max_possible_alloc_Mha
   1006001,                    0.00235890,                    0.00235890,                    0.00235890,                    0.03746225
   1007001,                    0.01764974,                    0.01764974,                    0.01764974,                    0.03959369
   1007002,                    0.00002469,                    0.00002469,                    0.00002469,                    0.00039167
   1007003,                    0.00203983,                    0.00203983,                    0.00203983,                    0.03236348
   1007004,                    0.00087273,                    0.00087273,                    0.00087273,                    0.01384652
   1008001,                    9.71494060,                    9.71494060,                    9.71494060,                   13.43918400
   1008002,                    0.35583727,                    0.35583727,                    0.35583727,                    0.49224825
   1009001,                    6.39589667,                    6.39589667,                    6.39589667,                    8.83899555
   1011001,                    0.01163035,                    0.01163035,                    0.01163035,                    0.01603516
   1011002,                    0.00001104,                    0.00001104,                    0.00001104,                    0.00001522
   1013001,                    0.72695541,                    0.63419811,                    0.63419811,                    1.66788977
   101374001,                    0.00989613,                    0.00886369,                    0.00886369,                    0.87800089
   101377001,                    3.86037329,                    4.59096099,                    4.59096099,                    8.23495059
   101377002,                    0.36411476,                    0.51651917,                    0.87594729,                    0.87594729
   101383001,                    2.41659605,                    1.04124848,                    1.41165418,                    1.41165418
   101384001,                   41.78019549,                   21.53641294,                   26.28190445,                   26.28190445
   101385001,                    4.72541347,                    1.68798408,                    1.68798408,                    1.68798408
   101385002,                   51.08646947,                   20.45708960,                   20.45708960,                   20.45708960
   101385003,                    4.72547017,                    1.68800434,                    1.68800434,                    1.68800434
   101386001,                   18.90176728,                    6.74266667,                    6.74266667,                    6.74266667
   101386002,                    7.40544692,                    3.02525255,                    3.37133333,                    3.37133333
   101387001,                    8.65922624,                    8.14311692,                    8.14311692,                    8.49000000
   101390001,                    2.90695811,                    3.09610122,                    3.09610122,                    5.59182211
   101391001,                    3.33069258,                    3.19953082,                    3.19953082,                    8.47000000
   101392001,                    3.33065261,                    3.19949243,                    3.19949243,                    8.46000000
   101393001,                    3.91973768,                    3.95717264,                    3.95717264,                    8.49989800
   101393002,                    5.87288653,                    5.90610806,                    5.90610806,                    8.50010200
   101394001,                   10.89076071,                   11.97247292,                   11.97247292,                   15.16490846
   101395001,                    5.75450222,                    5.77975320,                    5.77975320,                    8.49000000
   101396001,                    7.30937258,                    5.11088627,                    5.65006313,                    5.65006312
   101397001,                   46.12735898,                   22.07711684,                   22.07711684,                   22.07711684
   101398001,                    5.67333747,                    5.01665402,                    5.01665402,                    5.01665402
   101398002,                   29.01423029,                   31.52514403,                   40.52513974,                   40.52513973
   101399001,                    4.61019954,                    1.93226219,                    1.93226219,                    1.93226219
   101399002,                   21.62903412,                   24.38343685,                   33.19161038,                   33.19161039
   101400001,                   21.39598416,                   33.08069242,                   53.80262878,                   53.80262878
   1014001,                    3.46814547,                    5.49156784,                    5.49156784,                   25.24715728
   1014002,                    4.62418934,                    7.32208313,                    7.32208313,                   33.66284272
   101401001,                   15.20017429,                    6.28761323,                    6.28761323,                    6.28761323
   101401002,                   20.64213180,                   25.08334238,                   27.23195506,                   27.23195507
   101402001,                    3.32140808,                    0.80039782,                    0.80039782,                    0.80039782
   101402002,                    3.32140808,                    4.43989628,                    8.10267920,                    8.10267920
   101402003,                    4.05864292,                    4.96686588,                    6.34250565,                    6.34250565
   101403002,                    3.32136822,                    4.43984300,                    7.20727809,                    7.20727809
   101403003,                    3.32136822,                    4.43984300,                    6.83382399,                    6.83382399
   101404001,                    5.34639422,                    0.00000000,                    0.00000000,                    0.00000000
   101404002,                    5.76206569,                    0.00000000,                    0.00000000,                    0.00000000
   101404003,                    4.10321418,                    0.00000000,                    0.00000000,                    0.00000000
   101405001,                    4.03353987,                    1.66865332,                    1.66865332,                    1.66865332
   101405002,                    8.06717654,                    3.33734668,                    3.33734668,                    3.33734668
   101406001,                    4.03353987,                    0.00000000,                    0.00000000,                    0.00000000
   101406002,                    4.03353987,                    0.00000000,                    0.00000000,                    0.00000000
