codmun_ibge, simucont_id_all, x_alloc_area_Mha, distance_Euclidian
   140002,111948001,                    1.70800000,                    2.11638642
   140002,124954001,                    0.00000029,                    2.16176818
   140002,124959001,                    0.14529929,                    1.72379516
   140002,127321001,                    0.13964895,                    2.06737900
   140002,154843001,                    1.13692742,                    1.95139057
   140002,155942001,                    0.19587576,                    1.74299358
   140002,169597003,                    0.87287080,                    1.80773551
   140002,169634001,                    0.00018482,                    2.06020011
   140002,169636001,                    0.01445679,                    1.60688477
   140002,172092002,                    1.15819757,                    1.77323923
   140002,172093001,                    0.10441168,                    1.80085040
   140002,172093002,                    0.17269278,                    1.68726994
   140002,172109001,                    0.44569106,                    1.66471464
   140002,172125002,                    2.23499279,                    2.13809069
   140002,189306001,                    0.95884612,                    1.82024509
   140002,189876001,                    0.43086327,                    1.82468428
   140002,191580001,                    0.71282254,                    1.83481725
   140002,191864001,                    0.05957620,                    1.78246944
   140002,201182001,                    1.10404210,                    1.82607709
   140002,201182002,                    0.92981655,                    1.87337260
   140002,39574003,                    1.11485766,                    1.45811294
   140002,39630001,                   14.93068653,                    1.24685177
   140002,39631001,                    3.25491069,                    1.62998616
   140002,39632002,                   16.02968239,                    2.17754320
   140002,39688001,                    1.60844277,                    1.54171855
   140002,39689001,                   14.87733263,                    1.91772052
   140002,39751001,                    4.56081908,                    1.95214026
   140002,47605002,                    0.83285664,                    2.06593041
   140002,55393001,                    0.20179248,                    1.69647394
   140002,55402002,                    0.00079372,                    1.59809722
   140002,70162001,                    0.00439861,                    2.14487827
   140002,70174001,                    0.64000002,                    1.54160323
   140002,70175001,                    0.12685166,                    1.77020784
   140002,72322001,                    0.05422025,                    2.07360379
   140045,103277001,                    0.45142903,                    1.01157483
   140045,115564001,                    0.59379938,                    1.00644697
   140045,151371001,                    0.04094993,                    0.96132988
   140045,151372002,                    0.15121326,                    0.80448868
   140045,151375002,                    0.39017312,                    0.95279322
   140045,186315001,                    0.30639491,                    0.97952123
   140045,192281001,                    1.02224799,                    0.89838543
   140045,192281002,                    1.21420856,                    1.05338431
   140045,39814001,                    4.14262765,                    1.09167151
