codmun_ibge, simucont_id_all, x_alloc_area_Mha, distance_Euclidian
   110001,106853002,                   18.47113663,                    0.58490140
   110001,106853003,                    5.73863487,                    0.51157230
   110001,106853004,                    0.07118127,                    0.67836174
   110001,106854001,                   11.47726974,                    0.42861102
   110001,111969001,                    3.29264549,                    0.59822219
   110001,13363001,                   22.21474680,                    0.12239256
   110001,13364001,                    5.80822397,                    0.18670839
   110001,13442001,                    0.00382426,                    0.38424330
   110001,13443001,                    0.00207980,                    0.55752179
   110001,39553001,                    2.77888392,                    0.54413576
   110001,39555001,                    1.74066212,                    0.65031892
   110001,39601002,                    7.59479490,                    0.59481010
   110001,39602001,                    0.00095737,                    0.46592927
   110001,39603002,                    2.86213854,                    0.42330466
   110001,39605001,                    4.35347330,                    0.63871038
   110001,81865001,                   55.90994136,                    0.31889153
   110001,81891001,                    1.09194516,                    0.58806569
   110001,96313002,                    5.73863487,                    0.51547480
   110001,96314001,                    2.97694257,                    0.43968206
   110001,96314002,                   11.56132112,                    0.46850960
   110001,96323002,                    8.65487592,                    0.65837598
   110001,96324001,                    3.68523969,                    0.64484175
   110002,13281001,                    3.61688928,                    0.44492186
   110002,13359004,                    5.65153476,                    0.64490961
   110002,39460001,                   14.42082561,                    0.81832794
   110002,39461001,                    0.00145911,                    0.85726684
   110002,39503001,                   53.03776265,                    0.35572036
   110002,39504001,                   13.40757541,                    0.41833628
   110002,39546001,                   58.63464821,                    0.28542325
   110002,39547001,                   42.66904538,                    0.36542351
   110002,39598006,                    0.62220194,                    0.49858846
   110002,55388001,                    3.64761698,                    0.30309140
   110003,109352001,                    0.73921520,                    0.20710780
   110003,111983001,                    5.10881529,                    0.13922084
   110003,13569001,                    1.00390397,                    0.33353685
   110003,39782001,                   28.42769628,                    0.14055975
   110003,39784001,                   32.67664666,                    0.14969141
   110003,39843001,                   15.34203391,                    0.30108920
   110004,124955001,                    0.01311734,                    0.31872525
   110004,13440001,                   37.04333422,                    0.45858928
   110004,13441001,                   15.62522575,                    0.47306919
   110004,13503001,                   52.27614307,                    0.11624638
   110004,13504001,                   13.38755230,                    0.41965426
   110004,39658002,                    0.02969491,                    0.23631084
   110004,39716001,                   88.98626044,                    0.14094222
   110004,96336001,                    0.02417829,                    0.52661235
   110004,96337001,                    6.53583779,                    0.21256755
   110005,106871001,                    0.54899605,                    0.65866797
   110005,13507001,                    0.00138853,                    0.16969359
   110005,13569001,                   30.75684173,                    0.42008561
   110005,39662001,                    0.07574469,                    0.48110529
   110005,39719001,                   33.08529548,                    0.05354192
   110005,81936001,                    6.27931663,                    0.43409995
   110006,103280003,                    5.79076093,                    0.14850235
   110006,106871001,                   23.46815055,                    0.05598532
   110006,106879002,                   16.78639976,                    0.11928370
   110006,109352001,                    5.25144921,                    0.13316566
   110006,13569001,                   15.46890540,                    0.29478868
   110006,39843001,                   14.59350811,                    0.26038380
   110006,39843002,                    0.57719075,                    0.24600241
   110006,74115001,                    2.61988189,                    0.50197786
   110006,74116001,                    6.13984883,                    0.11735089
   110006,74133002,                    0.34127632,                    0.36416115
   110006,96348003,                    1.73825976,                    0.30344036
   110006,96349001,                    6.13992251,                    0.09017049
   110006,96349002,                   10.70444550,                    0.19716610
   110007,106863001,                    3.39952742,                    0.17837349
   110007,106863002,                    0.52809948,                    0.14336180
   110007,106863003,                    1.64923305,                    0.29605535
   110007,106871001,                    0.30873508,                    0.53427270
   110007,111982001,                    5.64371506,                    0.13321423
   110007,13443001,                    0.15672219,                    0.72064736
   110007,13506001,                    2.89255504,                    0.37067930
   110007,13506002,                   17.52512393,                    0.16201278
   110007,13507001,                    4.31027300,                    0.16447447
   110007,13569001,                   10.61466657,                    0.37757876
   110007,39662001,                    0.00008324,                    0.71989521
   110007,39718001,                    4.13925993,                    0.36853044
   110007,39718002,                   31.33587401,                    0.25676885
   110007,39719001,                   14.81212252,                    0.36651535
   110007,39781001,                    4.38126784,                    0.21858160
   110007,39781002,                    4.21605157,                    0.30388323
   110007,81915003,                    4.38126784,                    0.05904974
   110007,81935001,                    0.88821589,                    0.33758419
   110007,81936001,                    3.59485321,                    0.32560843
   110007,96338002,                    2.31494538,                    0.28473670
   110007,96348001,                    1.41508818,                    0.18908637
   110007,96348002,                    3.92081843,                    0.22218546
   110007,96348003,                   14.56381384,                    0.40857593
   110007,96349002,                    5.46440178,                    0.39990604
   110008,124934001,                    1.29025245,                    0.39035148
   110008,13072001,                    1.04867881,                    0.44010525
   110008,13073001,                   20.75822436,                    0.11058467
   110008,13138001,                    4.93801576,                    0.41617354
   110008,13139001,                    3.12659171,                    0.20219521
   110008,39384001,                    0.00202002,                    0.55670822
   110008,39424001,                   30.37503304,                    0.27146561
   110008,39466001,                   14.83172690,                    0.38306931
   110008,888001,                    0.00011973,                    0.59784242
   110009,103272001,                    7.87857562,                    0.29823443
   110009,103272002,                    4.62333302,                    0.19089962
   110009,104221001,                    0.00996861,                    0.36600265
   110009,104221002,                    4.49307896,                    0.24847422
   110009,106869001,                    4.62327754,                    0.14277321
   110009,106870001,                    4.62333302,                    0.21125246
   110009,108683001,                    4.62338850,                    0.20529632
   110009,111981001,                   16.50090760,                    0.07412764
   110009,117683001,                    0.62422443,                    0.09627747
   110009,124962001,                    4.62333302,                    0.17576821
   110009,124962002,                   13.86994357,                    0.10743300
   110009,13504001,                   11.15384332,                    0.59175929
   110009,13565002,                    0.22651264,                    0.28340974
   110009,13566001,                   12.39952215,                    0.47007790
   110009,13630002,                    0.00002485,                    0.45810369
   110009,39716001,                    5.28348796,                    0.47187195
   110009,39778001,                    0.67772842,                    0.62619729
   110009,39779001,                   29.32182434,                    0.27000791
   110009,39780001,                    4.62338850,                    0.25826633
   110009,39780002,                    1.65142708,                    0.28872920
   110009,52943002,                    0.00003482,                    0.32677917
   110009,55433002,                    0.91572689,                    0.40293704
   110009,55434001,                    9.24661055,                    0.17053005
   110009,57910001,                    0.00000141,                    0.24968734
   110009,70181001,                    4.62327754,                    0.09391790
   110009,70181002,                    4.62338850,                    0.18391376
   110009,81932001,                    0.73725888,                    0.16151812
   110009,81932003,                    4.68927727,                    0.18557571
   110009,81933003,                    1.92608712,                    0.30857899
   110009,957002,                    9.03738160,                    0.34106096
   110010,12941001,                    4.64244961,                    0.69948989
   110010,12943001,                    0.01751386,                    0.52341229
   110010,13009002,                    1.25731455,                    0.60043920
   110010,13073001,                    0.11275062,                    0.89944381
   110010,39334001,                    1.73081900,                    1.22213653
   110010,39336001,                   27.15776653,                    0.91491178
   110010,39338001,                    0.28739347,                    0.67258266
   110010,39340001,                    1.17757933,                    0.64272693
   110010,39379001,                    0.58667338,                    1.09057770
   110010,39382001,                    1.32934880,                    0.60885411
   110010,39384001,                    0.02861259,                    0.79951329
   110010,39422001,                    0.11848271,                    0.66400747
   110010,39424001,                    0.01826053,                    1.03019964
   110010,39463001,                    0.60423989,                    0.73478204
   110010,81747001,                    0.00185117,                    0.58836246
   110010,843001,                    2.53689153,                    0.84533147
   110010,843002,                    4.68331318,                    0.80926912
   110010,857002,                    0.62127524,                    0.48016416
   110010,857003,                    2.39879863,                    0.75732304
   110010,873003,                    0.03295522,                    0.45977762
   110010,874001,                    0.04892678,                    0.51838350
   110010,875001,                    0.04086599,                    0.53696182
   110010,888001,                    0.09087293,                    0.77823503
   110011,13283002,                    3.17344626,                    0.52176906
   110011,13360001,                    8.98203474,                    0.63730166
   110011,39547001,                   41.22622686,                    0.37734057
   110011,39548001,                   72.61271905,                    0.19107139
   110011,39599001,                   63.76158888,                    0.41708180
   110011,39600001,                   21.01445991,                    0.28800760
   110011,81841001,                    9.29990509,                    0.42096452
   110011,908001,                    6.83736767,                    0.40571701
   110011,908002,                    6.13815998,                    0.52356014
   110012,114827001,                    3.28733434,                    0.54110303
   110012,13361001,                   24.47731774,                    0.56779443
   110012,13362001,                   10.46632847,                    0.85628881
   110012,13437001,                    0.05238769,                    0.73260930
   110012,13438001,                    5.60813606,                    0.19575959
   110012,13439001,                   67.60846720,                    0.33170592
   110012,13440001,                    3.78790662,                    0.83330627
   110012,39600001,                    0.74195657,                    0.57387921
   110012,39657001,                   35.71733190,                    0.37795624
   110012,39657002,                   14.60035592,                    0.20460011
   110012,55404001,                    0.42787132,                    0.20176733
   110012,81890001,                    0.00433508,                    0.54737412
   110012,96321001,                    0.05723132,                    0.27359829
   110012,96322001,                    6.58603555,                    0.24878269
   110012,96322002,                    4.40097205,                    0.51372712
   110012,96335001,                    0.02423037,                    0.37901169
   110012,96336001,                    0.14381917,                    0.48151858
   110013,13281001,                    0.05007596,                    0.79288358
   110013,13358001,                   51.46909986,                    0.21423599
   110013,13359003,                    3.47910550,                    0.35712573
   110013,13359004,                   25.54038338,                    0.62953850
   110013,13436001,                    3.67742934,                    0.27169081
   110013,13436002,                   30.49866244,                    0.25709117
   110013,13437001,                    3.53327903,                    0.58624839
   110013,39546001,                    1.45099032,                    0.92409828
   110013,39596001,                    8.70862507,                    0.51329674
   110013,39597001,                   14.43338307,                    0.28524461
   110013,39598003,                    0.01201451,                    0.66025788
   110013,39598004,                    4.26572142,                    0.58766760
   110013,39598005,                    5.59295339,                    0.42773768
   110013,39653001,                    3.62817183,                    0.53342898
   110013,39654001,                    1.68800000,                    0.16994477
   110013,39654002,                    5.44714505,                    0.44435290
   110013,39654003,                    3.34704789,                    0.25985225
   110013,39655002,                    3.94444895,                    0.34193276
   110013,39711001,                    0.39128311,                    0.88491896
   110013,52921001,                   17.88174823,                    0.45632689
   110013,52921002,                    0.04601566,                    0.67538486
   110013,52926001,                    0.30565604,                    0.21803665
   110013,52926002,                    5.06400506,                    0.23187605
   110013,55394001,                    4.11031283,                    0.25582116
   110013,55395002,                    0.23577693,                    0.50570836
   110014,106853001,                    1.11944383,                    0.22664511
   110014,106853004,                    9.80641903,                    0.22846307
   110014,111969002,                    3.58150602,                    0.26868016
   110014,13362001,                   13.10271268,                    0.37927769
   110014,13440001,                    2.01642055,                    0.52420739
   110014,39601001,                   23.15086237,                    0.10283899
   110014,55396001,                    7.57422572,                    0.20289847
   110014,917001,                    4.18686091,                    0.19239898
   110014,918001,                    3.14042413,                    0.06317267
   110014,96313001,                    8.37333333,                    0.15609756
